,title,state,count,salary,applies,views,ratio_count_appl,ratio_views_appl,sum_count,avg_salary,avg_applies,avg_views,avg_ratio_count_appl,avg_ratio_views_appl
0,Staff Accountant,MI,1,5416.0,1.0,18.0,1.0,18.0,20,5425.333333333333,26.583333333333332,86.86538461538461,0.3289207593947478,6.113501697724241
1,Staff Accountant,MN,1,6250.0,4.0,21.0,0.25,5.25,20,5425.333333333333,26.583333333333332,86.86538461538461,0.3289207593947478,6.113501697724241
2,Staff Accountant,PA,1,4583.0,66.0,241.0,0.015151515151515152,3.6515151515151514,20,5425.333333333333,26.583333333333332,86.86538461538461,0.3289207593947478,6.113501697724241
3,Staff Accountant,OR,1,4640.0,2.0,18.0,0.5,9.0,20,5425.333333333333,26.583333333333332,86.86538461538461,0.3289207593947478,6.113501697724241
4,Staff Accountant,MA,2,7083.0,8.0,57.5,0.25,7.1875,20,5425.333333333333,26.583333333333332,86.86538461538461,0.3289207593947478,6.113501697724241
5,Staff Accountant,VA,1,5833.0,2.0,6.0,0.5,3.0,20,5425.333333333333,26.583333333333332,86.86538461538461,0.3289207593947478,6.113501697724241
6,Staff Accountant,FL,1,5625.0,11.0,33.0,0.09090909090909091,3.0,20,5425.333333333333,26.583333333333332,86.86538461538461,0.3289207593947478,6.113501697724241
7,Staff Accountant,CA,4,5338.5,3.75,23.75,1.0666666666666667,6.333333333333333,20,5425.333333333333,26.583333333333332,86.86538461538461,0.3289207593947478,6.113501697724241
8,Staff Accountant,CO,1,4791.0,125.0,244.0,0.008,1.952,20,5425.333333333333,26.583333333333332,86.86538461538461,0.3289207593947478,6.113501697724241
9,Staff Accountant,NY,1,5375.0,22.0,120.0,0.045454545454545456,5.454545454545454,20,5425.333333333333,26.583333333333332,86.86538461538461,0.3289207593947478,6.113501697724241
10,Staff Accountant,,2,5395.5,86.5,252.0,0.023121387283236993,2.913294797687861,20,5425.333333333333,26.583333333333332,86.86538461538461,0.3289207593947478,6.113501697724241
11,Staff Accountant,AR,1,4791.0,6.0,50.0,0.16666666666666666,8.333333333333334,20,5425.333333333333,26.583333333333332,86.86538461538461,0.3289207593947478,6.113501697724241
12,Staff Accountant,TX,3,5408.333333333333,8.333333333333334,45.0,0.36,5.3999999999999995,20,5425.333333333333,26.583333333333332,86.86538461538461,0.3289207593947478,6.113501697724241
13,Sales Director [Owner/Operator],VA,1,16765.0,1.0,10.0,1.0,10.0,18,16765.0,1.42,9.275,1.5500000000000003,7.691666666666667
14,Sales Director [Owner/Operator],MI,1,16765.0,2.0,10.0,0.5,5.0,18,16765.0,1.42,9.275,1.5500000000000003,7.691666666666667
15,Sales Director [Owner/Operator],CA,4,16765.0,1.0,7.75,4.0,7.75,18,16765.0,1.42,9.275,1.5500000000000003,7.691666666666667
16,Sales Director [Owner/Operator],NY,1,16765.0,1.0,7.0,1.0,7.0,18,16765.0,1.42,9.275,1.5500000000000003,7.691666666666667
17,Sales Director [Owner/Operator],CO,1,16765.0,2.0,8.0,0.5,4.0,18,16765.0,1.42,9.275,1.5500000000000003,7.691666666666667
18,Sales Director [Owner/Operator],IL,1,16765.0,1.0,7.0,1.0,7.0,18,16765.0,1.42,9.275,1.5500000000000003,7.691666666666667
19,Sales Director [Owner/Operator],NJ,2,16765.0,1.0,5.0,2.0,5.0,18,16765.0,1.42,9.275,1.5500000000000003,7.691666666666667
20,Sales Director [Owner/Operator],HI,1,16765.0,1.0,15.0,1.0,15.0,18,16765.0,1.42,9.275,1.5500000000000003,7.691666666666667
21,Sales Director [Owner/Operator],OH,1,16765.0,3.0,6.0,0.3333333333333333,2.0,18,16765.0,1.42,9.275,1.5500000000000003,7.691666666666667
22,Sales Director [Owner/Operator],FL,5,16765.0,1.2,17.0,4.166666666666667,14.166666666666668,18,16765.0,1.42,9.275,1.5500000000000003,7.691666666666667
23,Scoring Content Specialist,IN,1,4791.0,2.0,36.0,0.5,18.0,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
24,Scoring Content Specialist,OR,1,4791.0,1.0,21.0,1.0,21.0,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
25,Scoring Content Specialist,MI,1,4791.0,2.0,26.0,0.5,13.0,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
26,Scoring Content Specialist,IL,1,4791.0,1.0,22.0,1.0,22.0,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
27,Scoring Content Specialist,CT,1,4791.0,2.0,21.0,0.5,10.5,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
28,Scoring Content Specialist,MS,1,4791.0,1.0,19.0,1.0,19.0,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
29,Scoring Content Specialist,NY,1,4791.0,1.0,29.0,1.0,29.0,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
30,Scoring Content Specialist,TX,1,4791.0,4.0,83.0,0.25,20.75,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
31,Scoring Content Specialist,,1,4791.0,65.0,1139.0,0.015384615384615385,17.523076923076925,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
32,Scoring Content Specialist,CA,1,4791.0,2.0,30.0,0.5,15.0,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
33,Scoring Content Specialist,OK,1,4791.0,1.0,20.0,1.0,20.0,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
34,Scoring Content Specialist,CO,1,4791.0,1.0,45.0,1.0,45.0,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
35,Scoring Content Specialist,ID,1,4791.0,1.0,25.0,1.0,25.0,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
36,Scoring Content Specialist,NM,1,4791.0,2.0,13.0,0.5,6.5,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
37,Scoring Content Specialist,NC,1,4791.0,5.0,54.0,0.2,10.8,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
38,Scoring Content Specialist,MO,1,4791.0,1.0,14.0,1.0,14.0,16,4791.0,5.75,99.8125,0.6853365384615384,19.19206730769231
39,Senior Accountant,NJ,1,6875.0,6.0,43.0,0.16666666666666666,7.166666666666667,16,8005.722222222223,6.851851851851851,40.888888888888886,0.3367313392103476,8.221082149150922
40,Senior Accountant,CT,1,6875.0,6.0,49.0,0.16666666666666666,8.166666666666666,16,8005.722222222223,6.851851851851851,40.888888888888886,0.3367313392103476,8.221082149150922
41,Senior Accountant,WA,1,9120.0,7.0,37.0,0.14285714285714285,5.285714285714286,16,8005.722222222223,6.851851851851851,40.888888888888886,0.3367313392103476,8.221082149150922
42,Senior Accountant,TX,2,7916.0,3.0,19.5,0.6666666666666666,6.5,16,8005.722222222223,6.851851851851851,40.888888888888886,0.3367313392103476,8.221082149150922
43,Senior Accountant,NY,1,10833.0,2.0,13.0,0.5,6.5,16,8005.722222222223,6.851851851851851,40.888888888888886,0.3367313392103476,8.221082149150922
44,Senior Accountant,,2,7031.0,20.5,40.5,0.0975609756097561,1.975609756097561,16,8005.722222222223,6.851851851851851,40.888888888888886,0.3367313392103476,8.221082149150922
45,Senior Accountant,CA,6,7777.5,10.166666666666666,64.0,0.5901639344262295,6.2950819672131155,16,8005.722222222223,6.851851851851851,40.888888888888886,0.3367313392103476,8.221082149150922
46,Senior Accountant,MA,1,7708.0,2.0,39.0,0.5,19.5,16,8005.722222222223,6.851851851851851,40.888888888888886,0.3367313392103476,8.221082149150922
47,Senior Accountant,WI,1,7916.0,5.0,63.0,0.2,12.6,16,8005.722222222223,6.851851851851851,40.888888888888886,0.3367313392103476,8.221082149150922
48,Account Executive,FL,2,9895.5,16.0,80.5,0.125,5.03125,15,9745.791666666666,18.229166666666668,88.84375,0.14701040670346713,5.821781005406049
49,Account Executive,CA,3,7916.333333333333,11.333333333333334,67.0,0.2647058823529412,5.911764705882352,15,9745.791666666666,18.229166666666668,88.84375,0.14701040670346713,5.821781005406049
50,Account Executive,VA,1,15891.0,13.0,101.0,0.07692307692307693,7.769230769230769,15,9745.791666666666,18.229166666666668,88.84375,0.14701040670346713,5.821781005406049
51,Account Executive,MO,1,5416.0,3.0,27.0,0.3333333333333333,9.0,15,9745.791666666666,18.229166666666668,88.84375,0.14701040670346713,5.821781005406049
52,Account Executive,WA,1,8458.0,7.0,45.0,0.14285714285714285,6.428571428571429,15,9745.791666666666,18.229166666666668,88.84375,0.14701040670346713,5.821781005406049
