,company_name,type,benefit,sum_benefit,job_count,min_salary,med_salary,max_salary
0,Storm3,Commuter benefits,1,12,6,15833.0,20833.0,21875.0
1,Storm3,Disability insurance,1,12,6,15833.0,20833.0,21875.0
2,Storm3,Paid maternity leave,1,12,6,15833.0,20833.0,21875.0
3,Storm3,Student loan assistance,1,12,6,15833.0,20833.0,21875.0
4,Storm3,Vision insurance,1,12,6,15833.0,20833.0,21875.0
5,Storm3,Paid paternity leave,1,12,6,15833.0,20833.0,21875.0
6,Storm3,Pension plan,1,12,6,15833.0,20833.0,21875.0
7,Storm3,Tuition assistance,1,12,6,15833.0,20833.0,21875.0
8,Storm3,Child care support,1,12,6,15833.0,20833.0,21875.0
9,Storm3,Medical insurance,1,12,6,15833.0,20833.0,21875.0
10,Storm3,401(k),1,12,6,15833.0,20833.0,21875.0
11,Storm3,Dental insurance,1,12,6,15833.0,20833.0,21875.0
12,Consultative Search Group,Vision insurance,1,12,2,14583.0,14583.0,17708.0
13,Consultative Search Group,Commuter benefits,1,12,2,14583.0,14583.0,17708.0
14,Consultative Search Group,Dental insurance,1,12,2,14583.0,14583.0,17708.0
15,Consultative Search Group,Child care support,1,12,2,14583.0,14583.0,17708.0
16,Consultative Search Group,Student loan assistance,1,12,2,14583.0,14583.0,17708.0
17,Consultative Search Group,Paid maternity leave,1,12,2,14583.0,14583.0,17708.0
18,Consultative Search Group,401(k),1,12,2,14583.0,14583.0,17708.0
19,Consultative Search Group,Pension plan,1,12,2,14583.0,14583.0,17708.0
20,Consultative Search Group,Disability insurance,1,12,2,14583.0,14583.0,17708.0
21,Consultative Search Group,Paid paternity leave,1,12,2,14583.0,14583.0,17708.0
22,Consultative Search Group,Medical insurance,1,12,2,14583.0,14583.0,17708.0
23,Consultative Search Group,Tuition assistance,1,12,2,14583.0,14583.0,17708.0
24,ADP,401(k),1,12,25,7066.0,8845.0,17127.0
25,ADP,Pension plan,1,12,25,7066.0,8845.0,17127.0
26,ADP,Child care support,1,12,25,7066.0,8845.0,17127.0
27,ADP,Paid maternity leave,1,12,25,7066.0,8845.0,17127.0
28,ADP,Commuter benefits,1,12,25,7066.0,8845.0,17127.0
29,ADP,Dental insurance,1,12,25,7066.0,8845.0,17127.0
30,ADP,Disability insurance,1,12,25,7066.0,8845.0,17127.0
31,ADP,Tuition assistance,1,12,25,7066.0,8845.0,17127.0
32,ADP,Student loan assistance,1,12,25,7066.0,8845.0,17127.0
33,ADP,Vision insurance,1,12,25,7066.0,8845.0,17127.0
34,ADP,Paid paternity leave,1,12,25,7066.0,8845.0,17127.0
35,ADP,Medical insurance,1,12,25,7066.0,8845.0,17127.0
36,DataSkate,Tuition assistance,1,12,3,,,
37,DataSkate,Commuter benefits,1,12,3,,,
38,DataSkate,Vision insurance,1,12,3,,,
39,DataSkate,Pension plan,1,12,3,,,
40,DataSkate,Medical insurance,1,12,3,,,
41,DataSkate,Paid maternity leave,1,12,3,,,
42,DataSkate,Student loan assistance,1,12,3,,,
43,DataSkate,401(k),1,12,3,,,
44,DataSkate,Disability insurance,1,12,3,,,
45,DataSkate,Child care support,1,12,3,,,
46,DataSkate,Dental insurance,1,12,3,,,
47,DataSkate,Paid paternity leave,1,12,3,,,
48,Michael Andrew,Tuition assistance,1,12,2,7708.0,7708.0,15000.0
49,Michael Andrew,Child care support,1,12,2,7708.0,7708.0,15000.0
50,Michael Andrew,Vision insurance,1,12,2,7708.0,7708.0,15000.0
51,Michael Andrew,Paid maternity leave,1,12,2,7708.0,7708.0,15000.0
52,Michael Andrew,401(k),1,12,2,7708.0,7708.0,15000.0
53,Michael Andrew,Student loan assistance,1,12,2,7708.0,7708.0,15000.0
54,Michael Andrew,Commuter benefits,1,12,2,7708.0,7708.0,15000.0
55,Michael Andrew,Dental insurance,1,12,2,7708.0,7708.0,15000.0
56,Michael Andrew,Medical insurance,1,12,2,7708.0,7708.0,15000.0
57,Michael Andrew,Pension plan,1,12,2,7708.0,7708.0,15000.0
58,Michael Andrew,Paid paternity leave,1,12,2,7708.0,7708.0,15000.0
59,Michael Andrew,Disability insurance,1,12,2,7708.0,7708.0,15000.0
60,Glocomms,Commuter benefits,1,12,7,9583.0,10416.0,18750.0
61,Glocomms,Medical insurance,1,12,7,9583.0,10416.0,18750.0
62,Glocomms,Child care support,1,12,7,9583.0,10416.0,18750.0
63,Glocomms,Dental insurance,1,12,7,9583.0,10416.0,18750.0
64,Glocomms,Paid paternity leave,1,12,7,9583.0,10416.0,18750.0
65,Glocomms,Tuition assistance,1,12,7,9583.0,10416.0,18750.0
66,Glocomms,Paid maternity leave,1,12,7,9583.0,10416.0,18750.0
67,Glocomms,Disability insurance,1,12,7,9583.0,10416.0,18750.0
68,Glocomms,401(k),1,12,7,9583.0,10416.0,18750.0
69,Glocomms,Student loan assistance,1,12,7,9583.0,10416.0,18750.0
70,Glocomms,Vision insurance,1,12,7,9583.0,10416.0,18750.0
71,Glocomms,Pension plan,1,12,7,9583.0,10416.0,18750.0
72,Nationwide Children's Hospital,Tuition assistance,1,12,2,,,
73,Nationwide Children's Hospital,Commuter benefits,1,12,2,,,
74,Nationwide Children's Hospital,Pension plan,1,12,2,,,
75,Nationwide Children's Hospital,Vision insurance,1,12,2,,,
76,Nationwide Children's Hospital,Dental insurance,1,12,2,,,
77,Nationwide Children's Hospital,Disability insurance,1,12,2,,,
78,Nationwide Children's Hospital,Child care support,1,12,2,,,
79,Nationwide Children's Hospital,Student loan assistance,1,12,2,,,
80,Nationwide Children's Hospital,Medical insurance,1,12,2,,,
81,Nationwide Children's Hospital,Paid maternity leave,1,12,2,,,
82,Nationwide Children's Hospital,Paid paternity leave,1,12,2,,,
83,Nationwide Children's Hospital,401(k),1,12,2,,,
84,Mission Staffing,Paid paternity leave,1,12,9,6250.0,10833.0,16666.0
85,Mission Staffing,Dental insurance,1,12,9,6250.0,10833.0,16666.0
86,Mission Staffing,Vision insurance,1,12,9,6250.0,10833.0,16666.0
87,Mission Staffing,Pension plan,1,12,9,6250.0,10833.0,16666.0
88,Mission Staffing,Student loan assistance,1,12,9,6250.0,10833.0,16666.0
89,Mission Staffing,Paid maternity leave,1,12,9,6250.0,10833.0,16666.0
90,Mission Staffing,Commuter benefits,1,12,9,6250.0,10833.0,16666.0
91,Mission Staffing,401(k),1,12,9,6250.0,10833.0,16666.0
92,Mission Staffing,Tuition assistance,1,12,9,6250.0,10833.0,16666.0
93,Mission Staffing,Medical insurance,1,12,9,6250.0,10833.0,16666.0
94,Mission Staffing,Child care support,1,12,9,6250.0,10833.0,16666.0
95,Mission Staffing,Disability insurance,1,12,9,6250.0,10833.0,16666.0
96,Maxar Technologies,Commuter benefits,1,12,1,7500.0,7500.0,7500.0
97,Maxar Technologies,Child care support,1,12,1,7500.0,7500.0,7500.0
98,Maxar Technologies,Dental insurance,1,12,1,7500.0,7500.0,7500.0
99,Maxar Technologies,Student loan assistance,1,12,1,7500.0,7500.0,7500.0
100,Maxar Technologies,Paid maternity leave,1,12,1,7500.0,7500.0,7500.0
101,Maxar Technologies,Medical insurance,1,12,1,7500.0,7500.0,7500.0
102,Maxar Technologies,Disability insurance,1,12,1,7500.0,7500.0,7500.0
103,Maxar Technologies,401(k),1,12,1,7500.0,7500.0,7500.0
104,Maxar Technologies,Pension plan,1,12,1,7500.0,7500.0,7500.0
105,Maxar Technologies,Tuition assistance,1,12,1,7500.0,7500.0,7500.0
106,Maxar Technologies,Vision insurance,1,12,1,7500.0,7500.0,7500.0
107,Maxar Technologies,Paid paternity leave,1,12,1,7500.0,7500.0,7500.0
108,Kennedy Krieger Institute,Paid paternity leave,1,11,1,,,
109,Kennedy Krieger Institute,Commuter benefits,1,11,1,,,
110,Kennedy Krieger Institute,Student loan assistance,1,11,1,,,
111,Kennedy Krieger Institute,Vision insurance,1,11,1,,,
112,Kennedy Krieger Institute,Paid maternity leave,1,11,1,,,
113,Kennedy Krieger Institute,Tuition assistance,1,11,1,,,
114,Kennedy Krieger Institute,401(k),1,11,1,,,
115,Kennedy Krieger Institute,Dental insurance,1,11,1,,,
116,Kennedy Krieger Institute,Medical insurance,1,11,1,,,
117,Kennedy Krieger Institute,Disability insurance,1,11,1,,,
118,Kennedy Krieger Institute,Child care support,1,11,1,,,
119,MIT Investment Management Company,Disability insurance,1,11,1,,,
120,MIT Investment Management Company,Vision insurance,1,11,1,,,
121,MIT Investment Management Company,Pension plan,1,11,1,,,
122,MIT Investment Management Company,Paid maternity leave,1,11,1,,,
123,MIT Investment Management Company,Commuter benefits,1,11,1,,,
124,MIT Investment Management Company,Dental insurance,1,11,1,,,
125,MIT Investment Management Company,Medical insurance,1,11,1,,,
126,MIT Investment Management Company,Paid paternity leave,1,11,1,,,
127,MIT Investment Management Company,401(k),1,11,1,,,
128,MIT Investment Management Company,Child care support,1,11,1,,,
129,MIT Investment Management Company,Tuition assistance,1,11,1,,,
130,"Career Moves, LLC",Paid paternity leave,1,11,4,7916.0,9166.0,11250.0
131,"Career Moves, LLC",Dental insurance,1,11,4,7916.0,9166.0,11250.0
132,"Career Moves, LLC",Tuition assistance,1,11,4,7916.0,9166.0,11250.0
133,"Career Moves, LLC",Paid maternity leave,1,11,4,7916.0,9166.0,11250.0
134,"Career Moves, LLC",Vision insurance,1,11,4,7916.0,9166.0,11250.0
135,"Career Moves, LLC",Student loan assistance,1,11,4,7916.0,9166.0,11250.0
136,"Career Moves, LLC",Disability insurance,1,11,4,7916.0,9166.0,11250.0
137,"Career Moves, LLC",Medical insurance,1,11,4,7916.0,9166.0,11250.0
138,"Career Moves, LLC",401(k),1,11,4,7916.0,9166.0,11250.0
139,"Career Moves, LLC",Pension plan,1,11,4,7916.0,9166.0,11250.0
140,"Career Moves, LLC",Commuter benefits,1,11,4,7916.0,9166.0,11250.0
141,Robert Half,Tuition assistance,1,11,56,1458.0,8750.0,15208.0
142,Robert Half,Dental insurance,1,11,56,1458.0,8750.0,15208.0
143,Robert Half,Paid paternity leave,1,11,56,1458.0,8750.0,15208.0
144,Robert Half,Child care support,1,11,56,1458.0,8750.0,15208.0
145,Robert Half,Commuter benefits,1,11,56,1458.0,8750.0,15208.0
146,Robert Half,Vision insurance,1,11,56,1458.0,8750.0,15208.0
147,Robert Half,401(k),1,11,56,1458.0,8750.0,15208.0
148,Robert Half,Paid maternity leave,1,11,56,1458.0,8750.0,15208.0
149,Robert Half,Student loan assistance,1,11,56,1458.0,8750.0,15208.0
150,Robert Half,Disability insurance,1,11,56,1458.0,8750.0,15208.0
151,Robert Half,Medical insurance,1,11,56,1458.0,8750.0,15208.0
