,title,state,count,salary,applies,views,ratio_count_appl,ratio_views_appl,sum_count,avg_salary,avg_applies,avg_views,avg_ratio_count_appl,avg_ratio_views_appl
0,Executive Assistant - Global Programs - Non-profit - US Eastern Time Zone Candidates Only,,1,8333.0,554.0,1922.0,0.0018050541516245488,3.4693140794223827,1,8333.0,554.0,1922.0,0.0018050541516245488,3.4693140794223827
1,"Manager, Workforce Management (Remote)",,1,12175.0,486.0,2177.0,0.00205761316872428,4.479423868312757,1,12175.0,486.0,2177.0,0.00205761316872428,4.479423868312757
2,Java Developer,,1,8541.0,418.0,981.0,0.0023923444976076554,2.34688995215311,1,8541.0,418.0,981.0,0.0023923444976076554,2.34688995215311
3,Payment Posting Specialist,,1,3360.0,409.0,1383.0,0.0024449877750611247,3.3814180929095357,1,3360.0,409.0,1383.0,0.0024449877750611247,3.3814180929095357
4,"Director of Engineering, Growth",,1,24000.0,408.0,1555.0,0.0024509803921568627,3.8112745098039214,1,24000.0,408.0,1555.0,0.0024509803921568627,3.8112745098039214
5,Azure Data Engineer,,1,10400.0,386.0,906.0,0.0025906735751295338,2.3471502590673574,1,10400.0,386.0,906.0,0.0025906735751295338,2.3471502590673574
6,Business Operations Manager,,1,15916.0,379.0,2131.0,0.002638522427440633,5.62269129287599,1,15916.0,379.0,2131.0,0.002638522427440633,5.62269129287599
7,New Grad - Data Analyst II,CO,1,5808.0,368.0,822.0,0.002717391304347826,2.233695652173913,1,5808.0,368.0,822.0,0.002717391304347826,2.233695652173913
8,"Senior Manager, Sales Enablement and Development",,1,18750.0,367.0,1403.0,0.0027247956403269754,3.8228882833787465,1,18750.0,367.0,1403.0,0.0027247956403269754,3.8228882833787465
9,"Data Analyst, Real-Time Supply Management (Hybrid)",CA,1,11250.0,347.0,1038.0,0.002881844380403458,2.9913544668587897,1,11250.0,347.0,1038.0,0.002881844380403458,2.9913544668587897
10,Director of Growth Product,,1,21166.0,330.0,1251.0,0.0030303030303030303,3.790909090909091,1,21166.0,330.0,1251.0,0.0030303030303030303,3.790909090909091
11,Full Stack Developer,PA,1,10560.0,328.0,803.0,0.003048780487804878,2.448170731707317,1,10560.0,328.0,803.0,0.003048780487804878,2.448170731707317
12,Care Coordination Manager,,1,8437.0,320.0,1355.0,0.003125,4.234375,1,8437.0,320.0,1355.0,0.003125,4.234375
13,Director of Franchise Sales,,1,12500.0,320.0,1003.0,0.003125,3.134375,1,12500.0,320.0,1003.0,0.003125,3.134375
14,Lead Data Scientist,,1,18416.0,318.0,956.0,0.0031446540880503146,3.006289308176101,1,18416.0,318.0,956.0,0.0031446540880503146,3.006289308176101
