,company_name,title,salary,applies,job_count,min_salary,med_salary,max_salary
0,Google,"Director, Customer Engineering, Apigee, Google Cloud",22416,4.0,93,7000,15250,22416
1,Google,"Director, Customer Engineering, Apigee, Google Cloud",22416,5.0,93,7000,15250,22416
2,Google,"Director, Customer Engineering, Apigee, Google Cloud",22416,5.0,93,7000,15250,22416
3,Google,"Director, Customer Engineering, Apigee, Google Cloud",22416,6.0,93,7000,15250,22416
4,Google,"Director, Customer Engineering, Apigee, Google Cloud",22416,7.0,93,7000,15250,22416
5,Google,"Director, Customer Engineering, Apigee, Google Cloud",22416,8.0,93,7000,15250,22416
6,Google,"AI Consultant, Google Cloud",22083,4.0,93,7000,15250,22416
7,Google,"AI Consultant, Google Cloud",22083,6.0,93,7000,15250,22416
8,Google,"AI Consultant, Google Cloud",22083,8.0,93,7000,15250,22416
9,Google,"AI Consultant, Google Cloud",22083,11.0,93,7000,15250,22416
10,Google,"Technical Program Manager Lead, CPU",21416,,93,7000,15250,22416
11,Google,"Technical Program Manager Lead, CPU",21416,,93,7000,15250,22416
12,Google,"Staff Connectivity Security Researcher, Google Pixel",19500,,93,7000,15250,22416
13,Google,"Staff Connectivity Security Researcher, Google Pixel",19500,,93,7000,15250,22416
14,Google,"Technical Lead, Networking, Pixel Connectivity",19500,,93,7000,15250,22416
15,Google,"Staff Connectivity Security Researcher, Google Pixel",19500,1.0,93,7000,15250,22416
16,Google,"Staff Connectivity Security Researcher, Google Pixel",19500,1.0,93,7000,15250,22416
17,Google,"Staff Software Engineer, Infrastructure, Google Cloud Security and Privacy",19500,1.0,93,7000,15250,22416
18,Google,"Staff Software Engineer, Google Cloud Unified Fulfillment Optimization",19500,1.0,93,7000,15250,22416
19,Google,"Staff Software Engineer, Google Cloud Unified Fulfillment Optimization",19500,2.0,93,7000,15250,22416
20,Google,"Staff Software Engineer, Google Cloud Unified Fulfillment Optimization",19500,2.0,93,7000,15250,22416
21,Google,"Staff Software Engineer, Google Cloud Unified Fulfillment Optimization",19500,2.0,93,7000,15250,22416
22,Google,"Staff Software Engineer, Infrastructure, Google Cloud Application Modernization",19500,2.0,93,7000,15250,22416
23,Google,"Technical Lead, Networking, Pixel Connectivity",19500,3.0,93,7000,15250,22416
24,Google,"Technical Lead, Networking, Pixel Connectivity",19500,3.0,93,7000,15250,22416
25,Google,"Software Engineering Manager II, Google Cloud Unified Fulfillment Optimization",19500,7.0,93,7000,15250,22416
26,Google,"Software Engineering Manager II, Google Cloud Unified Fulfillment Optimization",19500,8.0,93,7000,15250,22416
27,Google,"Software Engineering Manager II, Google Cloud Unified Fulfillment Optimization",19500,9.0,93,7000,15250,22416
28,Google,"Product Analyst Manager II, Data Science",17333,11.0,93,7000,15250,22416
29,Google,"Product Analyst Manager II, Data Science",17333,11.0,93,7000,15250,22416
30,Google,"Product Analyst Manager II, Data Science",17333,12.0,93,7000,15250,22416
31,Google,"Senior Product Manager, Project Starline",17333,19.0,93,7000,15250,22416
32,Google,"Product Analyst Manager II, Data Science",17333,23.0,93,7000,15250,22416
33,Google,"Senior Software Engineer, AR",16333,6.0,93,7000,15250,22416
34,Google,"Senior Software Engineer, AR",16333,11.0,93,7000,15250,22416
35,Google,"Regional Delivery Lead, Cloud Learning Services",15958,,93,7000,15250,22416
36,Google,"Regional Delivery Lead, Cloud Learning Services",15958,,93,7000,15250,22416
37,Google,"Regional Delivery Lead, Cloud Learning Services",15958,,93,7000,15250,22416
38,Google,"Regional Delivery Lead, Cloud Learning Services",15958,,93,7000,15250,22416
39,Google,"Hardware Architect, Machine Learning, Technical Infrastructure",15250,1.0,93,7000,15250,22416
40,Google,"SoC Product and Yield Engineer, Google Cloud",15250,17.0,93,7000,15250,22416
41,Google,Senior Data Scientist,15250,19.0,93,7000,15250,22416
42,Google,Senior Data Scientist,15250,22.0,93,7000,15250,22416
43,Google,Senior Data Scientist,15250,27.0,93,7000,15250,22416
44,Google,Senior Data Scientist,15250,33.0,93,7000,15250,22416
45,Google,Senior Data Scientist,15250,34.0,93,7000,15250,22416
46,Google,Senior Data Scientist,15250,43.0,93,7000,15250,22416
47,Google,Senior Data Scientist,15250,44.0,93,7000,15250,22416
48,Google,Senior Data Scientist,15250,46.0,93,7000,15250,22416
49,Google,"MicroLED Test Engineer, Augmented Reality",14708,11.0,93,7000,15250,22416
50,Google,"Principal Architect, Google Cloud",14666,20.0,93,7000,15250,22416
51,Google,"Partner Development Manager, Public Sector",14583,,93,7000,15250,22416
52,Google,"Partner Development Manager, Public Sector",14583,,93,7000,15250,22416
53,Google,"Partner Development Manager, Public Sector",14583,,93,7000,15250,22416
54,Google,"Partner Development Manager, Public Sector",14583,1.0,93,7000,15250,22416
55,Google,"Partner Development Manager, Public Sector",14583,2.0,93,7000,15250,22416
56,Google,"Technical Program Manager III, Cloud Networking, Edge Capacity",14458,,93,7000,15250,22416
57,Google,"Technical Program Manager III, Cloud Networking, Edge Capacity",14458,,93,7000,15250,22416
58,Google,"Technical Program Manager III, Cloud Networking, Edge Capacity",14458,1.0,93,7000,15250,22416
59,Google,"Technical Program Manager III, Cloud Networking, Edge Capacity",14458,2.0,93,7000,15250,22416
60,Google,"Technical Program Manager III, Architecture, Engineering, and Accreditation, Public Sector",14458,3.0,93,7000,15250,22416
61,Google,"Technical Program Manager III, Architecture, Engineering, and Accreditation, Public Sector",14458,3.0,93,7000,15250,22416
62,Google,"Senior UX Researcher, Pixel",14458,27.0,93,7000,15250,22416
63,Google,"Senior Visual Designer, Pixel",14458,65.0,93,7000,15250,22416
64,Google,"Program Manager III, Architecture, Engineering, Accreditation, Public Sector",14125,5.0,93,7000,15250,22416
65,Google,"Software Engineer III, Hardware/Software Co-Design",13625,2.0,93,7000,15250,22416
66,Google,"Software Engineer III, Hardware/Software Co-Design",13625,2.0,93,7000,15250,22416
67,Google,"Software Engineer III, Mobile, Android",13625,6.0,93,7000,15250,22416
68,Google,"Software Engineer III, Full Stack, Google Cloud Application Modernization",13625,10.0,93,7000,15250,22416
69,Google,"Software Engineer III, Mobile, Android",13625,11.0,93,7000,15250,22416
70,Google,"Software Engineer III, Full Stack, Google Cloud Application Modernization",13625,13.0,93,7000,15250,22416
71,Google,"Software Engineer III, Hardware/Software Co-Design",13625,13.0,93,7000,15250,22416
72,Google,"Strategy Manager, Google Workspace",13500,31.0,93,7000,15250,22416
73,Google,"Strategy Manager, Google Workspace",13500,35.0,93,7000,15250,22416
74,Google,"Strategy Manager, Google Workspace",13500,112.0,93,7000,15250,22416
75,Google,"Cloud Customer Engineer, Data Management, Google Cloud",12291,,93,7000,15250,22416
76,Google,"Cloud Customer Engineer, Data Management, Google Cloud",12291,1.0,93,7000,15250,22416
77,Google,"Cloud Customer Engineer, Data Management, Google Cloud",12291,2.0,93,7000,15250,22416
78,Google,"Hardware Validation Engineer, Google Cloud",12250,3.0,93,7000,15250,22416
79,Google,"Interaction Designer, Google Cloud",12083,12.0,93,7000,15250,22416
80,Google,"UX Researcher, Pixel",12083,19.0,93,7000,15250,22416
81,Google,"Interaction Designer, Google Cloud",12083,33.0,93,7000,15250,22416
82,Google,"Interaction Designer, Google Cloud",12083,42.0,93,7000,15250,22416
83,Google,"Data Engineer, Google Nest",11833,278.0,93,7000,15250,22416
84,Google,"UX Program Manager, Pixel",11708,17.0,93,7000,15250,22416
85,Google,"Strategic Advisor, Strategy and Operations, Google Play Games",11708,25.0,93,7000,15250,22416
86,Google,"Business Partner, Acquisitions, Google Customer Solutions",11583,8.0,93,7000,15250,22416
87,Google,"Business Partner, Acquisitions, Google Customer Solutions",11583,12.0,93,7000,15250,22416
88,Google,"Enterprise Field Sales Representative, Google Cloud",11208,28.0,93,7000,15250,22416
89,Google,ASIC Design Verification Engineer,10708,10.0,93,7000,15250,22416
90,Google,"Data Center Facilities Technician, Controls",7791,2.0,93,7000,15250,22416
91,Google,"Data Center Technician, Global Server Operations, Machine Learning",7000,,93,7000,15250,22416
92,Google,Data Center Technician,7000,6.0,93,7000,15250,22416
93,Insight Global,Anaplan Solutions Architect,17600,10.0,83,1,7041,17600
94,Insight Global,Chief Systems Engineer,16000,5.0,83,1,7041,17600
95,Insight Global,Director of Used Inventory,15833,9.0,83,1,7041,17600
96,Insight Global,Business Developer Leader,14583,7.0,83,1,7041,17600
97,Insight Global,Senior Sales Manager,13541,65.0,83,1,7041,17600
98,Insight Global,Business Data Analyst,13120,206.0,83,1,7041,17600
99,Insight Global,Data Analytics Manager,12500,67.0,83,1,7041,17600
100,Insight Global,Middleware Engineer,11680,8.0,83,1,7041,17600
101,Insight Global,Superintendent,11666,,83,1,7041,17600
102,Insight Global,Dynamic 365 Functional Analyst,11666,,83,1,7041,17600
103,Insight Global,Data Analytics Manager - Strategic Sourcing,11666,22.0,83,1,7041,17600
104,Insight Global,IT Project Manager (Application Development),11200,,83,1,7041,17600
105,Insight Global,Data Steward,11200,,83,1,7041,17600
106,Insight Global,Manager of Retail IT Development ,11200,,83,1,7041,17600
107,Insight Global,IT Project Manager (Application Development),11200,47.0,83,1,7041,17600
108,Insight Global,SailPoint engineer  ,11200,48.0,83,1,7041,17600
109,Insight Global,Sr Data Engineer,10920,135.0,83,1,7041,17600
110,Insight Global,Product Design Engineer,10416,16.0,83,1,7041,17600
111,Insight Global,Linux Administrator,10240,134.0,83,1,7041,17600
112,Insight Global,Data Engineer,10080,255.0,83,1,7041,17600
113,Insight Global,Project Manager,9600,75.0,83,1,7041,17600
114,Insight Global,Controls Engineer,9583,4.0,83,1,7041,17600
115,Insight Global,Automation Control Engineer,9583,5.0,83,1,7041,17600
116,Insight Global,Director of Purchasing and Procurement,9166,,83,1,7041,17600
117,Insight Global,System Administrator,9120,,83,1,7041,17600
118,Insight Global,Clinical Research Nurse,9120,1.0,83,1,7041,17600
119,Insight Global,Architectural Designer,8750,37.0,83,1,7041,17600
120,Insight Global,Branch Office Manager,8541,,83,1,7041,17600
121,Insight Global,Accountant,8333,,83,1,7041,17600
